 txt, src_id, type_id, weight, tgt_id, value_id, desc, source parent_id, source type_id, source origin_nm, source name, source id, source path type_id, source path id, source path nm, target parent_id, target type_id, target origin_nm, target name, target id, target path type_id, target path id, target path nm
,12919677,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,SAL,12919677,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919677,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,SAL,12919677,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,1702,12919651,employee_details.qvw,,,,,,,,
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,1701,12919656,QVSERVER,,,,,,,,
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919643,11,0.95,12919641,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1703,12919658,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,,,,,,,,
,12919643,11,0.95,12919641,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1702,12919651,employee_details.qvw,,,,,,,,
,12919643,11,0.95,12919641,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1701,12919656,QVSERVER,,,,,,,,
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,1710,12919639,salary
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,1702,12919651,employee_details.qvw
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,1701,12919656,QVSERVER
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,,,
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,1702,12919651,employee_details.qvw,,,,,,,,
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,1701,12919656,QVSERVER,,,,,,,,
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,1710,12919639,salary
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,1702,12919651,employee_details.qvw
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,1701,12919656,QVSERVER
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,,,
,12919665,11,0.95,12919666,12919651,,12919643,152,qlik_test1,LOAD0/8,12919665,151,12919643,"LOAD COMM,",,,,,,,,
,12919665,11,0.95,12919666,12919651,,12919643,152,qlik_test1,LOAD0/8,12919665,1703,12919658,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,,,,,,,,
,12919665,11,0.95,12919666,12919651,,12919643,152,qlik_test1,LOAD0/8,12919665,1702,12919651,employee_details.qvw,,,,,,,,
,12919665,11,0.95,12919666,12919651,,12919643,152,qlik_test1,LOAD0/8,12919665,1701,12919656,QVSERVER,,,,,,,,
,12919665,11,0.95,12919666,12919651,1291964312919640,12919643,152,qlik_test1,LOAD0/8,12919665,,,,12919641,152,qlik_test1,salary,12919666,151,12919641,salary
,12919665,11,0.95,12919666,12919651,1291964312919640,12919643,152,qlik_test1,LOAD0/8,12919665,,,,12919641,152,qlik_test1,salary,12919666,1710,12919639,salary
,12919665,11,0.95,12919666,12919651,1291964312919640,12919643,152,qlik_test1,LOAD0/8,12919665,,,,12919641,152,qlik_test1,salary,12919666,1702,12919651,employee_details.qvw
,12919665,11,0.95,12919666,12919651,1291964312919640,12919643,152,qlik_test1,LOAD0/8,12919665,,,,12919641,152,qlik_test1,salary,12919666,1701,12919656,QVSERVER
,12919665,11,0.95,12919666,12919651,1291964312919640,12919643,152,qlik_test1,LOAD0/8,12919665,,,,12919641,152,qlik_test1,salary,12919666,,,
